SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1630542,0022401191,"Apr 13, 2025",PHI vs. CHI,L,43,4,9,0.444,0,3,0.0,2,2,1.0,4,11,15,1,4,1,2,3,10,-19,2
22024,1630542,0022401173,"Apr 11, 2025",PHI vs. ATL,L,38,8,14,0.571,4,8,0.5,0,0,0.0,3,7,10,5,1,2,1,1,20,-6,2
22024,1630542,0022401157,"Apr 09, 2025",PHI @ WAS,W,27,1,8,0.125,1,6,0.167,1,2,0.5,4,4,8,2,0,1,1,5,4,20,1
22024,1630542,0022401145,"Apr 07, 2025",PHI @ MIA,L,23,2,8,0.25,0,2,0.0,2,2,1.0,2,4,6,0,1,1,1,1,6,-2,1
22024,1630542,0022401130,"Apr 05, 2025",PHI vs. MIN,L,21,3,6,0.5,0,1,0.0,0,0,0.0,3,2,5,1,1,1,0,1,6,-11,1
22024,1630542,0022401098,"Apr 01, 2025",PHI @ NYK,L,19,4,8,0.5,0,2,0.0,1,2,0.5,5,3,8,0,0,1,1,0,9,-15,1
22024,1630542,0022401087,"Mar 30, 2025",PHI vs. TOR,L,26,2,7,0.286,0,4,0.0,0,0,0.0,2,5,7,0,0,2,0,1,4,-3,1
22024,1630542,0022401076,"Mar 29, 2025",PHI vs. MIA,L,18,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,0,1,3,1,1,2,-22,1
22024,1630542,0022401053,"Mar 26, 2025",PHI vs. WAS,L,19,1,3,0.333,0,2,0.0,2,2,1.0,0,4,4,1,0,0,0,2,4,-13,1
22024,1630542,0022401041,"Mar 24, 2025",PHI @ NOP,L,18,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,-13,1
